text,intent,language
الجيلول كيفاش يتشرب؟,demande_posologie,arabe
كنقلب على دوا ديال الحساسية.,demande_medicament,darija_ar
Matin ou soir ?,demande_posologie,francais
Lozenge limit?,demande_posologie,english
العظام كيضرو.,description_symptome,arabe
Can you give me something for heartburn?,demande_medicament,en
My head is pounding.,description_symptome,english
دوا الكحبة بشحال؟,demande_prix,arabe
Séance psychiatre.,demande_consultation,francais
Soins dentaires prix ?,demande_prix,francais
Pouvez-vous me donner quelque chose contre les brûlures d'estomac ?,demande_medicament,fr
تنقية السنان بشحال؟,demande_prix,arabe
لامو دايزة؟,remboursement_mutuelle,arabe
ثمن الفيزيتا؟,demande_prix,arabe
Need some eye drops.,demande_medicament,en
الحرارة مرتفعة.,description_symptome,arabe
ch7al ghat9am t7lila?,demande_prix,arabizi
خصني نشوف طبيب الدراري.,demande_consultation,arabe
ليريم شحال كيدير؟,demande_prix,arabe
Où sont les urgences cardiaques ?,demande_urgence,francais
الغبرة كيفاش نخلطها؟,demande_posologie,arabe
3dam mherssa 3iytou l ambulance,demande_urgence,arabizi
sifto mous3if daba,demande_urgence,arabizi
3tini chi dwa d skhana,demande_medicament,arabizi
J'ai besoin de pastilles contre la toux.,demande_medicament,fr
Bouffées par prise ?,demande_posologie,francais
Book an ENT.,demande_consultation,english
Baby needs a doctor.,demande_consultation,english
Sore tonsils.,description_symptome,english
Mal de crâne terrible.,description_symptome,francais
Ointment dose?,demande_posologie,english
assurance prive katrejje3 flous?,remboursement_mutuelle,arabizi
ch7al mn recha d rabouz?,demande_posologie,arabizi
I'd like to see a cardiologist.,demande_consultation,english
تفاصيل التعويض؟,remboursement_mutuelle,arabe
kayter3ed sra3,demande_urgence,arabizi
bghit n9lb jeldi,demande_consultation,arabizi
Notice suppo ?,demande_posologie,francais
أريد شراء مرهم للعضلات.,demande_medicament,ar
Can I get a cream for a rash?,demande_medicament,en
khssni antibiotique 3afak,demande_medicament,arabizi
Manoeuvre de Heimlich urgence !,demande_urgence,francais
Rejets gastriques.,description_symptome,francais
Urgence allergie !,demande_urgence,francais
3tini maxilase,demande_medicament,arabizi
Médicaments coût total ?,demande_prix,francais
Need a gynecologist asap.,demande_consultation,english
How expensive is the bloodwork?,demande_prix,english
rdv dial l9alb,demande_consultation,arabizi
Pouvez-vous me donner des médicaments contre la grippe ?,demande_medicament,fr
مصاريف السبيطار؟,demande_prix,arabe
هل يمكنك إعطائي بعض مضادات الحموضة؟,demande_medicament,ar
l9alb kaydreb b zerba,description_symptome,arabizi
طلقو كلشي، حالة طوارئ.,demande_urgence,arabe
"Lâchez tout, urgence médicale.",demande_urgence,francais
Hacking cough.,description_symptome,english
Mutuelle d'entreprise couvre ?,remboursement_mutuelle,francais
طبيب الانف والحنجرة.,demande_consultation,arabe
كيفاش نقطر هاد القطرات؟,demande_posologie,arabe
Je peux en prendre deux ?,demande_posologie,francais
"Asthma attack, collapsing!",demande_urgence,english
Anaphylactic shock!,demande_urgence,english
Cette crème coûte combien ?,demande_prix,francais
Spiking a fever.,description_symptome,english
I must see a urologist.,demande_consultation,english
فورميلة د لاسيرونس؟,remboursement_mutuelle,arabe
جيل كيفاش نديرو؟,demande_posologie,arabe
"Brûlure grave, que faire ?",demande_urgence,francais
مصاريف الجراحة؟,demande_prix,arabe
I'm looking for baby cough syrup.,demande_medicament,en
dehri tderre3,description_symptome,arabizi
Remplir dossier CNOPS.,remboursement_mutuelle,francais
أبحث عن البروبيوتيك.,demande_medicament,ar
l7anjara kat7re9,description_symptome,arabizi
عطيني شي حاجة للحرقة.,demande_medicament,darija_ar
هاد البومادا شحال دايرة؟,demande_prix,arabe
Toux grasse.,description_symptome,francais
ta7alil ch7al?,demande_prix,arabizi
شحال من مرة؟,demande_posologie,arabe
khssni nchouf tbib d drari,demande_consultation,arabizi
Avis chirurgical.,demande_consultation,francais
bghit ndwz 3la 3iniya,demande_consultation,arabizi
Joints are stiff.,description_symptome,english
Dossier Tadamon ?,remboursement_mutuelle,francais
Pediatrician availability for tomorrow?,demande_consultation,english
Booking for an eye doctor.,demande_consultation,english
Hôpital pour hémorragie ?,demande_urgence,francais
radio bch7al kadirouh?,demande_prix,arabizi
فين كاين السبيطار الكبير؟,demande_urgence,arabe
بغيت نصاوب سناني.,demande_consultation,arabe
شحال من قطرة؟,demande_posologie,arabe
Weird rash on my arm.,description_symptome,english
Remplir papiers assurance.,remboursement_mutuelle,francais
General doctor consultation.,demande_consultation,english
wach kat9blou la mutuelle?,remboursement_mutuelle,arabizi
Avez-vous de l'aspirine ?,demande_medicament,fr
Nombre de cachets ?,demande_posologie,francais
tanin f lwedn,description_symptome,arabizi
Mal de tête persistant.,description_symptome,francais
a9rab sbitar d lksayd?,demande_urgence,arabizi
بغيت نشري دوليبران.,demande_medicament,darija_ar
جلطة دماغية، 15!,demande_urgence,arabe
Chirurgie coût ?,demande_prix,francais
pomada ch7al tamanha?,demande_prix,arabizi
b zerba 3iytou l is3af!,demande_urgence,arabizi
Je cherche un dermatologue.,demande_consultation,francais
Rdv gorge et nez.,demande_consultation,francais
Ear nose throat doc visit.,demande_consultation,english
C'est combien ?,demande_prix,francais
ch7al mn mera nchrbou?,demande_posologie,arabizi
"Severe burn, where to go?",demande_urgence,english
Urgence respiratoire !,demande_urgence,francais
How much will the MRI set me back?,demande_prix,english
هل لديك دواء للزكام؟,demande_medicament,ar
"Deep cut, losing blood.",demande_urgence,english
استشارة د الاعصاب.,demande_consultation,arabe
Dry cough won't stop.,description_symptome,english
Scanning fees?,demande_prix,english
عتقو الروح!,demande_urgence,arabe
Remboursement AMO comment faire ?,remboursement_mutuelle,francais
فين مستعجلات القلب؟,demande_urgence,arabe
Dispatch an ambulance.,demande_urgence,english
الراس كيحرقني بزاف.,description_symptome,arabe
Je veux des antihistaminiques.,demande_medicament,fr
بغيت نقلب جلدي.,demande_consultation,arabe
khssni dwa d rdan,demande_medicament,arabizi
خاصني الحديد عافاك.,demande_medicament,darija_ar
l'amo dayza?,remboursement_mutuelle,arabizi
كيترعد، صرع.,demande_urgence,arabe
حالة حرجة!,demande_urgence,arabe
Infos mutuelle ?,remboursement_mutuelle,francais
bebe mrid,demande_consultation,arabizi
Alertez les urgences !,demande_urgence,francais
drsti ghat9tlni,description_symptome,arabizi
ch7al mn sachet f nhar?,demande_posologie,arabizi
Urgence neurologique !,demande_urgence,francais
3bar l3inin,demande_consultation,arabizi
Do you have anything for constipation?,demande_medicament,en
كاشي د لاميتيال.,remboursement_mutuelle,arabe
واش هاد الدوا كيترومبورصا؟,remboursement_mutuelle,arabe
sba7 wla b lil?,demande_posologie,arabizi
رنديفو ديرماتو.,demande_consultation,arabe
تخنق، زربو!,demande_urgence,arabe
Unconscious guy here.,demande_urgence,english
الحنجرة كتحرق.,description_symptome,arabe
MRI scan price?,demande_prix,english
واش كاين رابوز ديال الضيقة؟,demande_medicament,darija_ar
AMO Tadamon ça marche ?,remboursement_mutuelle,francais
Combien le rdv ?,demande_prix,francais
amo tadamon khedama?,remboursement_mutuelle,arabizi
Booker une séance médicale.,demande_consultation,francais
امو تضامن خدامة؟,remboursement_mutuelle,arabe
RAMED pris en charge ?,remboursement_mutuelle,francais
Rééducation prix ?,demande_prix,francais
J'ai besoin de vitamine C.,demande_medicament,fr
عظام مهرسة، عيطو للاسعاف.,demande_urgence,arabe
I need some cough drops.,demande_medicament,en
تشخيص عام.,demande_consultation,arabe
طبيب الاعصاب بغيت موعد.,demande_consultation,arabe
أحتاج إلى مرهم للحروق.,demande_medicament,ar
How to get my money back?,remboursement_mutuelle,english
tbib d l3dam kayn?,demande_consultation,arabizi
tachkhis 3am,demande_consultation,arabizi
Price tag on these pills?,demande_prix,english
Lotion coût ?,demande_prix,francais
High temp.,description_symptome,english
ما قديتش نسرط.,description_symptome,arabe
taf7 jeldi,description_symptome,arabizi
الفانيد شحال داير؟,demande_prix,arabe
Is this reimbursable?,remboursement_mutuelle,english
Puis-je avoir une crème contre les éruptions cutanées ?,demande_medicament,fr
Besoin d'un neurologue.,demande_consultation,francais
dossier cnops?,remboursement_mutuelle,arabizi
طريقة شرب الكينة؟,demande_posologie,arabe
Coût de la radio ?,demande_prix,francais
ودني كتقطر.,description_symptome,arabe
خاصني أنتيبيوتيك عافاك.,demande_medicament,darija_ar
Quintes de toux.,description_symptome,francais
Mutuelle claim process?,remboursement_mutuelle,english
Patch replacement time?,demande_posologie,english
7ala 7arija!,demande_urgence,arabizi
مغص في الكرش.,description_symptome,arabe
شرح ليا الدوزاج.,demande_posologie,arabe
"Drop everything, medical emergency.",demande_urgence,english
واش طبيب السنان مسالي غدا.,demande_consultation,arabe
هل لديك ملينات؟,demande_medicament,ar
Can you give me flu medicine?,demande_medicament,en
Need my teeth checked.,demande_consultation,english
Douleur lombaire.,description_symptome,francais
Ointment application?,demande_posologie,english
Gums are sore.,description_symptome,english
"Coupure profonde, ça pisse le sang.",demande_urgence,francais
بغيت شي مسكن للحريق.,demande_medicament,darija_ar
Selles liquides.,description_symptome,francais
Tarif échographie ?,demande_prix,francais
"Dépêchez-vous, urgence !",demande_urgence,francais
Rdv femme enceinte.,demande_consultation,francais
l'irm ch7al kaydir?,demande_prix,arabizi
Hospital room charge?,demande_prix,english
had pomada ch7al dayra?,demande_prix,arabizi
khssni aspegic 1000,demande_medicament,arabizi
remboursement d cnss?,remboursement_mutuelle,arabizi
كريم بشحال؟,demande_prix,arabe
كاشي د لامو.,remboursement_mutuelle,arabe
شحال من رشة د الرابوز؟,demande_posologie,arabe
Do you sell first aid kits?,demande_medicament,en
أحتاج شيئًا لدوار الحركة.,demande_medicament,ar
واش مقبول في لاميتيال؟,remboursement_mutuelle,arabe
Poison control emergency.,demande_urgence,english
واش نقدر نشرب جوج دقة وحدة؟,demande_posologie,arabe
واش عندكم أسبيرين؟,demande_medicament,darija_ar
بشحال هادا؟,demande_prix,arabe
choc 7asasiya!,demande_urgence,arabizi
lila f la clinique bch7al?,demande_prix,arabizi
Suspicion d'AVC !,demande_urgence,francais
Je veux voir un pédiatre.,demande_consultation,francais
gel kifax nsta3mlou?,demande_posologie,arabizi
ch7al mn chouka?,demande_posologie,arabizi
Réanimation urgence.,demande_urgence,francais
كسيدة خايبة عتقو!,demande_urgence,arabe
Ear infection pain.,description_symptome,english
Température très haute.,description_symptome,francais
Dose de pommade ?,demande_posologie,francais
Ear is throbbing.,description_symptome,english
Avez-vous des laxatifs ?,demande_medicament,fr
كحبة ناشفة ما بغاتش تفوت.,description_symptome,arabe
جاتني الدوخة.,description_symptome,arabe
Choc anaphylactique !,demande_urgence,francais
ch7al mn bekha?,demande_posologie,arabizi
Do you have asthma inhalers?,demande_medicament,en
خاصني دوا لضرسة.,demande_medicament,darija_ar
ch7al radio?,demande_prix,arabizi
tatabo3 l7aml,demande_consultation,arabizi
Ringing in ears.,description_symptome,english
I'm looking for a nasal spray.,demande_medicament,en
ليلة في الكلينيك بشحال؟,demande_prix,arabe
Need paramedics asap.,demande_urgence,english
Ultrasound cost?,demande_prix,english
جيبو الوقاية المدنية.,demande_urgence,arabe
OBGYN scheduling.,demande_consultation,english
I need antiviral medication.,demande_medicament,en
Tamponnez ma feuille de soins.,remboursement_mutuelle,francais
Dossier assurance santé ?,remboursement_mutuelle,francais
عطيني شي سيرو ديال الكحبة.,demande_medicament,darija_ar
مفاصلي كيحرقوني.,description_symptome,arabe
jalta dimaghiya 15!,demande_urgence,arabizi
Send an EMT right away.,demande_urgence,english
How much is this?,demande_prix,english
جاتو كريز د الصرع!,demande_urgence,arabe
"Fast, call the medics!",demande_urgence,english
Je serai remboursé ?,remboursement_mutuelle,francais
هل تبيع الإيبوبروفين؟,demande_medicament,ar
Feuille de soins CNSS ?,remboursement_mutuelle,francais
حليب الرضاعة بشحال؟,demande_prix,arabe
أبحث عن دواء للحساسية.,demande_medicament,ar
A quelle fréquence ?,demande_posologie,francais
dosage d sghar?,demande_posologie,arabizi
الدوايات شحال طالعين؟,demande_prix,arabe
اللصقة كيفاش تخدم؟,demande_posologie,arabe
Ointment price?,demande_prix,english
cachet d la mutuelle,remboursement_mutuelle,arabizi
صدى الصوت بشحال؟,demande_prix,arabe
Choking emergency!,demande_urgence,english
Réserver dentiste.,demande_consultation,francais
هل لديك كريم مطهر؟,demande_medicament,ar
Migraine since yesterday.,description_symptome,english
Knees are aching.,description_symptome,english
Kids dosage for this?,demande_posologie,english
sifto ambulance,demande_urgence,arabizi
Kinésithérapie tarif ?,demande_prix,francais
Lotion price?,demande_prix,english
أبحث عن شراب سعال للأطفال.,demande_medicament,ar
Heart palpitations.,description_symptome,english
gelule kifax kaytchreb?,demande_posologie,arabizi
Do you have slots for a neurologist?,demande_consultation,english
Signature dossier mutuelle.,remboursement_mutuelle,francais
Need something for menstrual cramps.,demande_medicament,en
Quand changer le patch ?,demande_posologie,francais
wach had dwa kaytrmboursa?,remboursement_mutuelle,arabizi
bghit rdv m3a dentiste,demande_consultation,arabizi
Éligible mutuelle ?,remboursement_mutuelle,francais
les9a kifax tkhdem?,demande_posologie,arabizi
Dosage for adults?,demande_posologie,english
Acouphènes.,description_symptome,francais
3yiit w l7mi mdegdeg,description_symptome,arabizi
بغيت نتلاقى الجراح.,demande_consultation,arabe
Company plan cover this?,remboursement_mutuelle,english
redit lmakla,description_symptome,arabizi
الدنيا كدور بيا.,description_symptome,arabe
كنرد بزاف.,description_symptome,arabe
ambulance 3afak rah urgence!,demande_urgence,arabizi
Set up a surgery consult.,demande_consultation,english
الردان شدني.,description_symptome,arabe
خاصني دوا ديال الدوخة.,demande_medicament,darija_ar
Lait bébé coût ?,demande_prix,francais
Envoyez les secours !,demande_urgence,francais
الشقيقة شاداني.,description_symptome,arabe
Avez-vous des médicaments contre le rhume ?,demande_medicament,fr
Consultation ophtalmo.,demande_consultation,francais
Donnez-moi des pansements et de l'alcool.,demande_medicament,fr
J'ai besoin d'un antiviral.,demande_medicament,fr
snesoul kaywje3,description_symptome,arabizi
اتعاب الطبيب؟,demande_prix,arabe
هل لديك أي شيء للإمساك؟,demande_medicament,ar
رنديفو مع الجراح.,demande_consultation,arabe
هل لديك أي مسكنات للأطفال؟,demande_medicament,ar
wach kayn bedadine?,demande_medicament,arabizi
wach kayn rhumafed?,demande_medicament,arabizi
at3ab tbib?,demande_prix,arabizi
Démarche assurance maladie ?,remboursement_mutuelle,francais
استشارة طبية عامة.,demande_consultation,arabe
assurance d lkhedma kat3awed?,remboursement_mutuelle,arabizi
Swallowing hurts.,description_symptome,english
wach 3ndkom daflon?,demande_medicament,arabizi
Tummy hurts a lot.,description_symptome,english
"Emergency, please hurry!",demande_urgence,english
Daily dose?,demande_posologie,english
